交期風險,預定交貨日,客戶,產品圖號,訂單編號,未交數量,已生產數量,未完成製程,delivery_month
🔴,2026-07-07,客戶 D,4VSBRF1-06AP-079,20260525001-01,560.0,674.0,5/27裁管→皂化→6/2凹頭→6/10抽1→6/10CNC1~3→6/24防鏽(6/26)→7/7包裝,2026年 07月
🔴,2026-07-10,客戶 A,FODERO-FORK-3-WP,S00002,200.0,260.0,→→8/13CNC3~5→搪磨 →硬陽→包裝,2026年 07月
🔴,2026-08-06,客戶 J,25.4015.016.265,73340598-01,2000.0,3848.0,→8/3待皂化 →整+滾→皮膜→鐳雕 →包裝,2026年 08月
🔴,2026-08-14,客戶 J,25.4015.016.265,73329658-02,1500.0,1500.0,裁管→皂化 →凹頭 →抽1 →長信(退火)→噴砂+皂化→抽2 →切頭尾 → 擴+整 →折角→整型→修頭→6/15長信熱處理→6/23皂化 →6/25整+滾(6/26)→皮膜(6/30)→鐳雕(7/1)→包裝(7/1),2026年 08月
🔴,2026-08-14,客戶 J,25.4015.016.265,73329658-01,1321.0,1300.0,5/15~5/25裁管→皂化 →5/26凹頭 →抽1 →5/27長信(退火)→6/3噴砂+皂化→6/9抽2 →切頭尾 → 擴+整 →折角 →修頭→長信熱處理→皂化 →整+滾→6/10皮膜→6/11鐳雕 →包裝,2026年 08月
🔴,2026-08-26,客戶 C,M5GST252FB340E000,20260731004,1236.0,1233.0,→8/27硬陽黑色→麻輪 →包裝,2026年 08月
🔴,2026-08-26,客戶 C,M5GST252FB340Z000,20260731005,1200.0,1197.0,8/25硬陽金色→麻輪 →包裝,2026年 08月
🔴,2026-08-21,客戶 C,M5GST252FB340Z000,20260717015,783.0,774.0,→8/31待包裝,2026年 08月
🔴,2026-08-26,客戶 C,M5GST7EA318E100,20260807004,528.0,521.0,→8/31包裝,2026年 08月
🔴,2026-08-26,客戶 C,M5GST7EE318E100,20260807003,462.0,462.0,→8/31包裝,2026年 08月
🔴,2026-08-03,客戶 D,4VCSFF1-270P-001,20260527006-02,160.0,160.0,貼箱,2026年 08月
🔴,2026-08-21,客戶 D,4VSBUG1-330P-234,20260626004-01,140.0,0.0,,2026年 08月
🔴,2026-08-21,客戶 D,4VUCUG1-050P-001,20260626004-07,140.0,0.0,,2026年 08月
🔴,2026-08-21,客戶 D,4VUCUG1-040P-001,20260626004-04,140.0,0.0,,2026年 08月
🔴,2026-08-04,客戶 B,50475723-0T366,測試品,70.0,70.0,→8/11待包裝,2026年 08月
🔴,2026-08-03,客戶 D,4VCSFG1-060P-001,20260527006-03,10.0,10.0,待貼箱,2026年 08月
🔴,2026-08-03,客戶 D,4VCSFG1-070P-001,20260527006-04,10.0,10.0,貼箱,2026年 08月
🔴,2026-08-03,客戶 D,4VSBFG1-330P-170,20260527005-01,5.0,5.0,貼箱,2026年 08月
🔴,2026-08-31,客戶 D,"7VCSEM1-290P001
(4VEM1-290P)  ",20260804005-01,1.0,3.0,→8/31竣淵→包裝,2026年 08月
🔴,2026-08-31,客戶 D,"7VCSEM1-300P001
(4VEM1-300P)     ",20260804005-02,1.0,2.0,→8/13待CNC→包裝,2026年 08月
🔴,2026-09-04,客戶 B,50483137A-264,1150518004-5,4050.0,4928.0,→8/21皮膜→包裝,2026年 09月
🔴,2026-09-01,客戶 B,50483137A-264,1150518004-4,3224.0,3632.0,→8/26包裝,2026年 09月
🔴,2026-09-07,客戶 D,4VSBTB1-230P275,20260715001-08,2152.0,1190.0,→9/1抽2 →切頭尾→擴+整 →折+整 →修+壓 →皮膜 →鐳雕 →包裝,2026年 09月
🔴,2026-09-01,客戶 C,M5GSTAH6215A20M,20260709011-01,1500.0,543.0,7/10~8/4裁管 →8/12CNC兩端 →搪磨 →8/25無心研磨 →8/26松漢-CP電鍍 →8/28包裝,2026年 09月
🔴,2026-09-07,客戶 D,4VSBTB1-230P275,20260715001-07,1344.0,2223.0,→8/28包裝,2026年 09月
🔴,2026-09-07,客戶 D,4VSBTB1-230P275,20260715001-11,1344.0,1680.0,→9/1待擴+整 →折+整 →修+壓 →皮膜 →鐳雕 →包裝,2026年 09月
🔴,2026-09-10,客戶 C,M5GST7EA318E100,20260820004,528.0,528.0,8/31研磨→巨品-硬陽黑→麻輪 →包裝,2026年 09月
🔴,2026-09-01,客戶 C,M5GST7EE318E100,20260812001,330.0,327.0,→8/31待包裝,2026年 09月
🔴,2026-09-01,客戶 C,M5GST7EA318E100,20260812003,327.0,325.0,→8/31待包裝,2026年 09月
🔴,2026-09-07,客戶 D,4VUCFG1-050P-HB1,20260811035-06,250.0,3182.0,待貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VUCFG1-040P-BB1,20260611035-05,200.0,3980.0,待貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VCUFG1-560P-001,20260811035-04,200.0,988.0,待貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VBLFG1-540P-001,20260811035-02,200.0,3139.0,待貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VSBFG1-330P-173,20260811034-01,200.0,910.0,待貼箱,2026年 09月
🔴,2026-09-10,客戶 C,M5GST7EE318E100,20260820003,198.0,198.0,8/31研磨→巨品-硬陽黑→麻輪 →包裝,2026年 09月
🔴,2026-09-01,客戶 C,M5GST7EE318E100,20260812002,185.0,183.0,→8/31待包裝,2026年 09月
🔴,2026-09-07,客戶 D,4VUCFG1-040P-BB1,20260708006-06,160.0,160.0,貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VUCFG1-050P-HB1,20260708006-07,160.0,160.0,貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VBLFG1-540P-001,20260708006-01,160.0,160.0,貼箱,2026年 09月
🔴,2026-09-01,客戶 C,M5GST7EA318E100,20260812004,145.0,145.0,→8/31待包裝,2026年 09月
🔴,2026-09-07,客戶 D,4VUCFG1-040P-BB1,20260713005-03,100.0,100.0,貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VUCFG1-050P-HB1,20260713005-04,100.0,100.0,貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VBLFG1-540P-001,20260713005-01,100.0,100.0,貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VCUFG1-560P-001,20260708006-05,80.0,80.0,貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VBLFG1-540P-001,20260721005-01,70.0,70.0,待貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VSBFG1-330P-173,20260708005-02,70.0,70.0,貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VCUFG1-560P-001,20260713005-02,50.0,50.0,貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VBLFG1-540P-001,20260506007-04,48.0,48.0,貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VSBFG1-330P-173,20260713004-01,40.0,40.0,貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VCUFG1-560P-001,20260721005-02,35.0,35.0,待貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VCUFG1-560P-001,20260506007-17,24.0,24.0,貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VSBFG1-330P-173,20260721004-01,20.0,20.0,待貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VBLFG1-540P-001,20260811035-01,8.0,8.0,待貼箱,2026年 09月
🔴,2026-09-07,客戶 D,4VCUFG1-560P-001,20260811035-03,4.0,4.0,待貼箱,2026年 09月
🟡,2026-09-16,客戶 C,M5GAEQHAC076,20260525022-01,13000.0,13083.0,→7/3待CNC1→CNC2→CNC3→8/7铣床 →研磨→8/19硬陽-巨品→8/24待包裝,2026年 09月
